user_id,item_id,Game Title,User Rating,Age Group Targeted,Price,Platform,Requires Special Device,Developer,Publisher,Release Year,Genre,Multiplayer,Game Length (Hours),Graphics Quality,Soundtrack Quality,Story Quality,User Review Text,Game Mode,Min Number of Players
861,11,Grand Theft Auto V,36.4,All Ages,41.41,PC,No,Game Freak,Innersloth,2015,Adventure,No,55.3,Medium,Average,Poor,"Solid game, but too many bugs.",Offline,1
1295,37,The Sims 4,38.3,Adults,57.56,PC,No,Nintendo,Electronic Arts,2015,Shooter,Yes,34.6,Low,Poor,Poor,"Solid game, but too many bugs.",Offline,3
1131,20,Minecraft,26.8,Teens,44.93,PC,Yes,Bungie,Capcom,2012,Adventure,Yes,13.9,Low,Good,Average,"Great game, but the graphics could be better.",Offline,5
1096,3,Bioshock Infinite,38.4,All Ages,48.29,Mobile,Yes,Game Freak,Nintendo,2015,Sports,No,41.9,Medium,Good,Excellent,"Solid game, but the graphics could be better.",Online,4
1639,13,Half-Life: Alyx,30.1,Adults,55.49,PlayStation,Yes,Game Freak,Epic Games,2022,RPG,Yes,13.2,High,Poor,Good,"Great game, but too many bugs.",Offline,1
2170,11,Grand Theft Auto V,38.6,Adults,51.73,Xbox,No,Capcom,Capcom,2017,RPG,Yes,48.8,Low,Average,Poor,"Solid game, but the graphics could be better.",Offline,4
467,27,Sid Meier’s Civilization VI,33.1,Adults,46.44,Mobile,No,Game Freak,Innersloth,2020,Simulation,No,36.9,High,Excellent,Good,"Solid game, but the gameplay is amazing.",Online,3
1239,16,Just Dance 2024,32.3,Teens,36.92,Nintendo Switch,No,Capcom,Take-Two Interactive,2012,Strategy,No,52.1,Ultra,Poor,Poor,"Disappointing game, but the gameplay is amazing.",Offline,3
331,27,Sid Meier’s Civilization VI,26.7,All Ages,22.2,Nintendo Switch,No,Epic Games,Epic Games,2010,Fighting,No,56.4,Low,Average,Good,"Great game, but the gameplay is amazing.",Online,10
1483,0,1000-Piece Puzzle,23.9,Kids,20.09,PC,No,CD Projekt Red,Innersloth,2013,Sports,Yes,46.0,Low,Good,Average,"Solid game, but the graphics could be better.",Offline,5
2136,28,Spelunky 2,29.3,Adults,27.76,Mobile,No,Capcom,Capcom,2017,Adventure,No,57.0,Medium,Excellent,Good,"Amazing game, but the gameplay is amazing.",Offline,1
2920,30,Street Fighter V,37.4,All Ages,58.01,PlayStation,No,Game Freak,Epic Games,2010,Fighting,Yes,29.2,Medium,Average,Average,"Solid game, but too many bugs.",Offline,5
131,30,Street Fighter V,28.2,Kids,42.13,PC,Yes,Capcom,Activision,2018,Shooter,Yes,20.6,Ultra,Average,Poor,"Great game, but too many bugs.",Offline,10
1686,8,Fall Guys,43.0,Teens,50.53,Nintendo Switch,Yes,Capcom,Epic Games,2011,Strategy,Yes,55.6,Low,Poor,Poor,"Great game, but too many bugs.",Offline,5
770,37,The Sims 4,17.6,Teens,21.71,PC,Yes,EA Sports,Activision,2015,Action,Yes,27.5,Medium,Average,Poor,"Solid game, but the gameplay is amazing.",Offline,4
2392,26,Rocket League,28.6,Kids,52.91,PlayStation,No,Epic Games,Valve,2012,Party,No,7.0,Low,Poor,Poor,"Solid game, but the gameplay is amazing.",Offline,2
1516,35,The Elder Scrolls V: Skyrim,32.4,All Ages,32.8,PC,No,Epic Games,Valve,2014,Simulation,No,55.5,Ultra,Poor,Excellent,"Disappointing game, but the gameplay is amazing.",Offline,6
2854,1,Among Us,18.7,Teens,20.81,Mobile,No,Epic Games,Activision,2015,RPG,Yes,23.9,Low,Good,Average,"Disappointing game, but the graphics could be better.",Online,3
2434,8,Fall Guys,29.7,Teens,40.94,Mobile,No,Game Freak,Epic Games,2011,Action,No,25.8,Medium,Average,Average,"Disappointing game, but the gameplay is amazing.",Online,2
1216,29,Stardew Valley,36.5,Kids,48.29,Mobile,Yes,Bungie,Take-Two Interactive,2016,Shooter,No,41.9,Medium,Excellent,Excellent,"Solid game, but the gameplay is amazing.",Online,1
956,28,Spelunky 2,30.7,All Ages,45.94,PC,Yes,Bungie,Epic Games,2016,Adventure,No,20.9,Medium,Good,Poor,"Great game, but the graphics could be better.",Offline,10
2325,4,Call of Duty: Modern Warfare 2,26.3,All Ages,32.3,PC,No,Game Freak,Innersloth,2023,Strategy,Yes,31.5,Ultra,Poor,Average,"Disappointing game, but the gameplay is amazing.",Offline,3
1185,36,The Legend of Zelda: Breath of the Wild,31.4,Adults,29.05,PlayStation,No,Nintendo,Innersloth,2013,Adventure,No,55.6,Medium,Excellent,Excellent,"Amazing game, but too many bugs.",Offline,5
460,33,Tekken 7,26.8,Teens,38.03,PC,Yes,Game Freak,Capcom,2022,Simulation,Yes,21.7,Medium,Average,Average,"Solid game, but the gameplay is amazing.",Online,3
22,22,Pillars of Eternity II: Deadfire,26.2,All Ages,23.59,Xbox,Yes,Capcom,Electronic Arts,2016,Puzzle,Yes,49.4,Low,Good,Average,"Solid game, but too many bugs.",Offline,10
2301,2,Animal Crossing: New Horizons,27.7,Teens,49.11,Xbox,Yes,Bungie,Electronic Arts,2012,Adventure,Yes,15.7,High,Poor,Average,"Solid game, but the gameplay is amazing.",Offline,5
748,12,Hades,35.8,Kids,39.41,Nintendo Switch,No,Game Freak,Capcom,2018,Sports,Yes,49.5,High,Excellent,Excellent,"Great game, but the graphics could be better.",Online,10
2905,19,Mario Kart 8 Deluxe,37.3,All Ages,42.53,PC,No,Rockstar Games,Epic Games,2016,Simulation,No,54.9,Medium,Good,Average,"Amazing game, but the graphics could be better.",Offline,10
